unit_id,donation_date,expiry_date,transfusion_date,blood_group,hospital_name,hospital_department,inventory_level,daily_units_demanded,status,wastage_reason,days_in_storage,inventory_risk,shortage_flag,year,month
BBU000001,2023-08-17,2023-09-28,\N,O+,University of Port Harcourt Teaching Hospital,ICU,21,20,Expired,Low Demand,42,Medium,No,2023,August
BBU000002,2024-04-02,2024-05-14,2024-04-14,O+,Lagos University Teaching Hospital,Trauma,28,15,Transfused,\N,12,Medium,No,2024,April
BBU000003,2023-06-28,2023-08-09,2023-07-02,A+,Lagos University Teaching Hospital,Hematology,45,11,Transfused,\N,4,Low,No,2023,June
BBU000004,2023-03-03,2023-04-14,2023-03-13,B+,Lagos University Teaching Hospital,Emergency,13,8,Transfused,\N,10,Medium,No,2023,March
BBU000005,2025-10-31,2025-12-12,2025-11-10,O+,University College Hospital Ibadan,Surgery,58,12,Transfused,\N,10,Low,No,2025,October
BBU000006,2024-02-12,2024-03-25,2024-03-03,A+,Lagos University Teaching Hospital,Surgery,49,16,Transfused,\N,20,Low,No,2024,February
BBU000007,2025-05-09,2025-06-20,2025-05-30,A+,Lagos University Teaching Hospital,ICU,22,12,Transfused,\N,21,Medium,No,2025,May
BBU000008,2024-07-23,2024-09-03,2024-07-31,A+,National Hospital Abuja,Emergency,8,17,Transfused,\N,8,High,Yes,2024,July
BBU000009,2025-05-15,2025-06-26,\N,O+,Aminu Kano Teaching Hospital,Pediatrics,41,20,Expired,Low Demand,42,Low,No,2025,May
BBU000010,2024-03-16,2024-04-27,2024-03-19,O+,University of Port Harcourt Teaching Hospital,Surgery,68,22,Transfused,\N,3,Low,No,2024,March
BBU000011,2023-07-09,2023-08-20,2023-07-16,O+,Lagos University Teaching Hospital,Trauma,44,15,Transfused,\N,7,Low,No,2023,July
BBU000012,2024-12-05,2025-01-16,2024-12-19,O+,University College Hospital Ibadan,ICU,58,20,Transfused,\N,14,Low,No,2024,December
BBU000013,2023-03-30,2023-05-11,2023-04-05,A+,Aminu Kano Teaching Hospital,Pediatrics,37,13,Transfused,\N,6,Low,No,2023,March
BBU000014,2025-02-14,2025-03-28,2025-02-17,O-,National Hospital Abuja,Trauma,1,16,Transfused,\N,3,High,Yes,2025,February
BBU000015,2025-01-10,2025-02-21,2025-01-23,O+,Lagos University Teaching Hospital,Surgery,56,18,Transfused,\N,13,Low,No,2025,January
BBU000016,2023-05-23,2023-07-04,2023-06-02,A+,Federal Medical Centre Owerri,Surgery,10,15,Transfused,\N,10,High,Yes,2023,May
